registroAB,nombre,presentacion,potencia,laboratorio,monodroga,troquel,codigobarra
26409,FEMEXIN                                     ,comp.x 21               ,100/20 mcg,Elea                ,levonorgestrel+etinilestradiol          ,4744371,7796285049775
26410,REGUCAL D                                   ,comp.rec.x 60           ,315/200 mg/UI,Baliarda            ,"calcio,citrato+vit.d3                   ",4746012,7795338013626
26420,DUOFILM PLANTAR                             ,gel x 20 g              ,27 g %,GlaxoSmithKline     ,"salicílico,ác.                          ",4699591,7896251800826
26423,SEQUAX                                      ,25 mg comp.x 100        ,25 mg,Ivax Arg.           ,clozapina                               ,4687453,7795342003897
26424,SEQUAX                                      ,100 mg comp.x 30        ,100 mg,Ivax Arg.           ,clozapina                               ,4687532,7795342003903
26425,SEQUAX                                      ,100 mg comp.x 100       ,100 mg,Ivax Arg.           ,clozapina                               ,4687533,7795342003910
26434,SERTAL PERLAS                               ,caps.blandas x 20       ,10 mg,Roemmers            ,propinox                                ,3085372,7795345010939
26435,PIOGLIT                                     ,15 mg comp.x 15         ,15 mg,Phoenix             ,pioglitazona                            ,4721421,7791848273017
26436,PIOGLIT                                     ,15 mg comp.x 30         ,15 mg,Phoenix             ,pioglitazona                            ,4721422,7791848273024
26437,PIOGLIT                                     ,30 mg comp.x 15         ,30 mg,Phoenix             ,pioglitazona                            ,4721501,7791848273031
26438,PIOGLIT                                     ,30 mg comp.x 30         ,30 mg,Phoenix             ,pioglitazona                            ,4721502,7791848273048
26439,PIOGLIT                                     ,45 mg comp.x 15         ,45 mg,Phoenix             ,pioglitazona                            ,4721681,7791848273055
26440,PIOGLIT                                     ,45 mg comp.x 30         ,45 mg,Phoenix             ,pioglitazona                            ,4721682,7791848273062
26441,NEUMOTEX 100                                ,caps.p/inhalar x 60     ,100 mcg/dosis,Phoenix             ,budesonide                              ,4673591,7791848244826
26442,NEUMOTEX 200                                ,caps.p/inhalar x 60     ,200 mcg/dosis,Phoenix             ,budesonide                              ,4673671,7791848244833
26443,NEUMOTEX 400                                ,caps.p/inhalar x 60     ,400 mcg/dosis,Phoenix             ,budesonide                              ,4673751,7791848244840
26444,AVELOX                                      ,400 mg comp.rec.x 7     ,400 mg,Bayer (PH)          ,moxifloxacina                           ,4629952,7793640002512
26449,INSULINA INSUMAN                            ,N 100 UI vial x 1 x 5 ml,100 UI/ml,Sanofi-Aventis      ,insulina humana                         ,4656181,7795312020008
26450,INSULINA INSUMAN                            ,N 100 UI cart.x 5 x 3 ml,100 UI/ml,Sanofi-Aventis      ,insulina humana                         ,4656261,7795312020022
26472,SESTRINE                                    ,0.5 mg comp.x 30        ,0.5 mg,Beta                ,repaglinida                             ,4566092,7795328058101
26474,SESTRINE                                    ,1 mg comp.x 30          ,1 mg,Beta                ,repaglinida                             ,4566172,7795328058149
26475,SESTRINE                                    ,1 mg comp.x 90          ,1 mg,Beta                ,repaglinida                             ,4566174,7795328058163
26476,SESTRINE                                    ,2 mg comp.x 30          ,2 mg,Beta                ,repaglinida                             ,4566252,7795328058187
26477,SESTRINE                                    ,2 mg comp.x 90          ,2 mg,Beta                ,repaglinida                             ,4566254,7795328058170
26478,TRIAL GEST                                  ,25/125mcg sat blist.x 8 ,25/125 mcg/24 horas,Beta                ,estradiol+noretisterona                 ,4761782,7795328055704
26479,TRIAL GEST                                  ,50/250mcg sat blist.x 8 ,50/250 mcg/24 horas,Beta                ,estradiol+noretisterona                 ,4761862,7795328055728
26487,JEVITY PLUS                                 ,bot.x 1000 ml           , No Clasificada,Abbott              ,proteínas+grasas+carbohid.+asoc.        ,4681592,0070074116068
26499,CALCIO BASE DUPOMAR D3 200                  ,comp.x 60               ,1260/200 mg/UI,Investi             ,"calcio,carbonato+vit.d3                 ",4741981,7795309001560
26500,CALCIO BASE DUPOMAR D3 400                  ,comp.x 60               ,1260/400 mg/UI,Investi             ,"calcio,carbonato+vit.d3                 ",4742051,7795309001577
26509,LECTRUM 3.75 MG                             ,kit x 1                 ,3.75 mg,Sandoz              ,"leuprolide,acetato                      ",4783641,7792069027014
26510,LECTRUM 7.5 MG                              ,kit x 1                 ,7.5 mg,Sandoz              ,"leuprolide,acetato                      ",4783561,7792069027021
26562,AUROBRAL                                    ,5 mg comp.x 30          ,5 mg,AstraZeneca         ,donepecilo                              ,4466003,7795351910995
26564,AUROBRAL                                    ,10 mg comp.x 30         ,10 mg,AstraZeneca         ,donepecilo                              ,4466183,7795351911046
26577,FILARTROS                                   ,100 mg comp.rec.x 3     ,100 mg,Ivax Arg.           ,leflunomida                             ,4778291,7795326000096
26578,FILARTROS                                   ,20 mg comp.rec.x 30     ,20 mg,Ivax Arg.           ,leflunomida                             ,4778111,7795326000065
26579,MARATHON ANTIOXIDANTE                       ,caps.blandas x 30       , No Clasificada,Ivax Arg.           ,coenzima Q-10+asoc.                     ,4741141,7795326000423
26587,MIOPROPAN PROCTOLOGICO                      ,cr.x 20 g               ,5.8/0.5 g %,Laboratorios Ber    ,trimebutina+ruscogenina                 ,4737022,7792175005173
26621,SECURO                                      ,comp.x 6                ,6 mg,Raymos              ,ivermectina                             ,4264202,7791763000064
26677,ANAUS                                       ,50 mg comp.rec.x 2      ,50 mg,Beta                ,sildenafil                              ,4437892,7795328055605
26678,GLIMIDE                                     ,4 mg comp.rec.x 15      ,4 mg,Beta                ,rosiglitazona                           ,4768551,7795328052635
26679,GLIMIDE                                     ,4 mg comp.rec.x 30      ,4 mg,Beta                ,rosiglitazona                           ,4768552,7795328052611
26680,GLIMIDE                                     ,8 mg comp.rec.x 30      ,8 mg,Beta                ,rosiglitazona                           ,4768632,7795328052628
26681,GLIMIDE                                     ,8 mg comp.rec.x 15      ,8 mg,Beta                ,rosiglitazona                           ,4768631,7795328052659
26682,LACTAMAX                                    ,0.5 mg comp.x 2         ,0.5 mg,Beta                ,cabergolina                             ,4748751,7795328057302
26683,LACTAMAX                                    ,0.5 mg comp.x 8         ,0.5 mg,Beta                ,cabergolina                             ,4748753,7795328057326
26686,NEUPRAM                                     ,1 mg comp.x 30          ,1 mg,Sidus               ,haloperidol                             ,4771263,7798011650897
26687,NEUPRAM                                     ,1 mg comp.x 60          ,1 mg,Sidus               ,haloperidol                             ,4771266,7798011650927
26688,NEUPRAM                                     ,5 mg comp.x 30          ,5 mg,Sidus               ,haloperidol                             ,4771343,7798011650941
26689,NEUPRAM                                     ,5 mg comp.x 60          ,5 mg,Sidus               ,haloperidol                             ,4771346,7798011650972
26690,NEUPRAM                                     ,10 mg comp.x 30         ,10 mg,Sidus               ,haloperidol                             ,4771423,7798011650996
26691,NEUPRAM                                     ,10 mg comp.x 60         ,10 mg,Sidus               ,haloperidol                             ,4771426,7798011651023
26701,BEROCCA PLUS                                ,comp.efer.x 10          , No Clasificada,Bayer Consumer      ,vit.+minerales                          ,4729521,7793640602491
26702,BEROCCA PLUS                                ,comp.efer.x 30          , No Clasificada,Bayer Consumer      ,vit.+minerales                          ,4729522,7793640602514
26703,BEROCCA PLUS                                ,comp.laq.x 30           , No Clasificada,Bayer Consumer      ,vit.+minerales                          ,4729601,7793640679844
26708,GONAPEPTYL DEPOT                            ,3.75mg liof.jga+dil+acc.,3750 mcg,Ferring             ,triptorelina                            ,4741221,7798025130248
26709,MIRELLE                                     ,comp.x 28               ,15/60 mcg,Bayer (PH)          ,etinilestradiol+gestodeno               ,4763261,7896116862020
26725,DIOVAN D                                    ,160/12.5 mg comp.rec.x14,160/12.5 mg,Novartis            ,valsartán+hidroclorotiazida             ,4716991,7795306503104
26726,DIOVAN D                                    ,160/12.5 mg comp.rec.x28,160/12.5 mg,Novartis            ,valsartán+hidroclorotiazida             ,4716992,7795306503159
